"gene","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"mt-Nd2",9.28510001953161e-07,-0.441310866763801,0.706,0.918,0.0261886246050889,0.0530479291061121,-0.500237770309379,0.208,0.264,1,5.65133737928001e-10,-0.324350502408481,0.847,0.972,1.59395970782593e-05,0.0530479291061121,1.69540121282588e-09
"Prr13",0.000903196756760451,-0.27348439598837,0.398,0.612,1,0.0491615035816086,-0.508908323819888,0.282,0.326,1,7.82010453748985e-10,-0.317077794107199,0.465,0.626,2.20566048479901e-05,0.0491615035816086,2.34603135941233e-09
"Ifitm6",1.0475454005373e-09,-0.479832943766192,0.12,0.388,2.95460180221544e-05,0.336860127641605,-0.417482161282845,0.113,0.135,1,7.4833929382947e-07,-0.391409560855251,0.202,0.331,0.0211069097824602,0.336860127641605,3.14263619831984e-09
"Rpl19",0.00119815637720957,0.455144600688211,0.843,0.867,1,5.49667217937504e-05,0.427830837871867,0.678,0.556,1,2.21564660745616e-09,0.361163992772441,0.832,0.827,6.24923125633009e-05,0.00119815637720957,6.6469398076412e-09
"Rpsa",0.0313507359660726,0.376249747399663,0.703,0.796,1,0.000187836208924495,0.252613020229423,0.632,0.472,1,2.48234360374849e-09,0.291146737886051,0.466,0.292,7.0014501343726e-05,0.0313507359660726,7.44703079275939e-09
"Mcl1",2.27079425759542e-06,-0.633605634333444,0.594,0.806,0.0640477520354788,0.00303918283986079,-0.419228268398536,0.344,0.444,1,3.82114956730556e-09,-0.320865320220771,0.658,0.824,0.000107775523545853,0.00303918283986079,1.14634486581132e-08
"Tmem123",0.000671441967478423,1.12963234752938,0.345,0.194,1,0.000288220894351331,0.925132143460067,0.137,0.039,1,4.51803015641883e-09,1.2061838145658,0.389,0.235,0.000127431040561793,0.000671441967478423,1.35540904080187e-08
"Rps29",1.28694630716787e-06,0.546973614861379,0.95,1,0.0362983205936697,0.000116432903702174,0.310648816726089,0.933,0.916,1,5.11041564616389e-09,0.333956518448239,0.94,0.966,0.000144139273300053,0.000116432903702174,1.53312468601427e-08
"Rpl31",0.00476867171252781,0.392894181312782,0.77,0.755,1,0.00159820147938505,0.274967354438794,0.656,0.5,1,8.92695639943199e-09,0.377408316120495,0.635,0.51,0.000251784805245979,0.00476867171252781,2.67808689592244e-08
"Atox1",6.00790951234972e-06,0.695682008400143,0.683,0.52,0.169453087795824,0.0180990570266797,0.473947071835328,0.525,0.461,1,1.3306317140751e-08,0.51949812605625,0.628,0.533,0.000375304674954882,0.0180990570266797,3.99189508910789e-08
"Anxa3",0.00115198502585525,0.584347068107727,0.261,0.112,1,0.00471015783937433,0.644165307069628,0.107,0.039,1,3.95281977757887e-08,0.357956564585283,0.211,0.082,0.00111489281826612,0.00471015783937433,1.18584588639931e-07
"Ddit4",8.68851669719064e-06,-0.450341994017185,0.126,0.316,0.245059613444262,4.83820637080645e-07,-0.510869267139036,0.071,0.202,0.0136461610688596,4.17825482496045e-08,-0.362130302395849,0.107,0.224,0.0011784767733801,8.68851669719064e-06,1.2534763951147e-07
"Tnfaip2",0.00215259424188642,-0.253519676377579,0.275,0.449,1,0.000641595439933742,-0.251928738083743,0.18,0.298,1,5.04992697403831e-08,-0.300611146267136,0.255,0.397,0.00142433190302751,0.00215259424188642,1.51497801570621e-07
"Rps18",5.58375993324376e-08,0.778455825014123,0.924,0.888,0.0015748994891714,0.065834164693515,0.260614420186867,0.809,0.803,1,2.39294536850622e-06,0.412103141662873,0.835,0.892,0.067493024118718,0.065834164693515,1.67512788643801e-07
"Il1b",0.481123711025254,0.276034841039736,0.479,0.49,1,8.93254073986143e-05,0.45607889856381,0.421,0.247,1,6.35422205862596e-08,0.570101160252719,0.512,0.363,0.00179220833163545,0.481123711025254,1.90626649645938e-07
"Rps26",7.92843238289812e-07,0.724229870438442,0.812,0.786,0.0223621435359641,8.29343122283163e-05,0.495943552275885,0.781,0.719,1,3.5203586211498e-07,0.329998117111165,0.791,0.802,0.00992917149095303,8.29343122283163e-05,1.05610721455724e-06
"Psme2b",0.0317327345252716,0.396947910708721,0.384,0.306,1,0.0315794450535306,0.30285656577282,0.244,0.169,1,3.73700574469213e-07,0.265798700864433,0.326,0.181,0.0105402247029042,0.0317327345252716,1.12110130445133e-06
"Cmip",0.00302641209921805,-0.365838089235902,0.381,0.551,1,0.0971712842943434,-0.384357288344173,0.208,0.253,1,3.9250996595892e-07,-0.278826729549053,0.362,0.504,0.0110707435898713,0.0971712842943434,1.1775294356846e-06
"RP23-27H19.7",0.00850569041725734,0.649323920417354,0.686,0.694,1,0.345835405759777,0.363852522328924,0.452,0.416,1,2.88530612298378e-06,0.422302005449469,0.606,0.504,0.0813800591987574,0.345835405759777,8.65589339400107e-06
"Psme2",0.0110422939914741,0.421864876504963,0.401,0.296,1,0.0169870316895427,0.352250547189103,0.268,0.18,1,3.29043942095801e-06,0.306990761006532,0.352,0.221,0.0928068438681206,0.0169870316895427,9.8712857819349e-06
"S100a4",0.298019517634975,0.379923085417266,0.574,0.571,1,5.97331022308059e-06,0.660117577491675,0.61,0.433,0.168477214841988,1.14610665975373e-05,0.479418240964734,0.586,0.496,0.32325938338354,0.298019517634975,1.79198236281498e-05
"Atp6v0c",0.00419397558389063,0.688183532966214,0.717,0.714,1,0.563160660301447,0.349228384378845,0.468,0.449,1,8.11062556990644e-06,0.556779664214266,0.666,0.586,0.228760194199211,0.563160660301447,2.43316793635114e-05
"Trim25",0.000813571115102713,-0.264332034261161,0.188,0.357,1,0.041869857899228,-0.304566190109583,0.157,0.213,1,1.25216976417442e-05,-0.295606139727424,0.218,0.323,0.353174481985395,0.041869857899228,3.75646225484603e-05
"Bcl2a1d",0.0015061812794502,0.33024492780381,0.37,0.214,1,0.071910640511592,0.257036294362429,0.226,0.169,1,1.75024921418495e-05,0.286097737207435,0.338,0.221,0.493657790860864,0.071910640511592,5.25065574192164e-05
"Rps3",8.21099088253617e-05,0.493777580153421,0.874,0.908,1,0.0101449454838075,0.266280283969053,0.763,0.702,1,1.87667050044159e-05,0.278251468634336,0.833,0.836,0.529314914649552,0.0101449454838075,5.6299058452207e-05
"Wdr26",4.64684503475864e-05,-0.332220914397208,0.269,0.5,1,0.421163103119114,-0.251435202204983,0.189,0.213,1,2.19909342810997e-05,-0.272647030960455,0.37,0.47,0.620254301398418,0.421163103119114,6.59713520503624e-05
"Stk24",2.80764189730953e-05,-0.55180578493618,0.289,0.51,0.791895397136154,0.0842183446899128,-0.389994974559325,0.097,0.14,1,7.77412051799526e-05,-0.308877608208793,0.304,0.405,1,0.0842183446899128,8.42268920855111e-05
"Cst3",0.574211454268056,0.599551892165914,0.818,0.918,1,0.000342794717897358,0.759381728128446,0.805,0.742,1,2.84907823354393e-05,0.785380617950858,0.829,0.85,0.803582515771066,0.574211454268056,8.54699118554103e-05
"Syngr2",0.00125861725443629,0.559858560026914,0.518,0.449,1,0.0546592000902319,0.390613260063879,0.328,0.258,1,3.35538911573539e-05,0.371201880126607,0.425,0.329,0.946387500093167,0.0546592000902319,0.000100658295919003
"Rpl15",0.0494911339295235,0.394016561776692,0.801,0.837,1,0.105390737747484,0.321011073501468,0.689,0.64,1,5.14082360885681e-05,0.33290755282697,0.784,0.773,1,0.105390737747484,0.000154216779981353
"Cnn2",0.00328887960311183,0.587501557807194,0.445,0.347,1,0.000210166084406122,0.363593819595427,0.306,0.157,1,6.5390988410474e-05,0.324572022942764,0.428,0.312,1,0.00328887960311183,0.000196160137566937
"Ctsd",0.886935337085952,0.931412739351262,0.42,0.52,1,0.000140471888783516,-0.301202890583505,0.295,0.444,1,0.00867849281895073,0.356153783761891,0.39,0.493,1,0.886935337085952,0.000421356472067774
"RP24-352B14.1",0.0239707413927619,0.417390198492414,0.622,0.653,1,0.00339888565912676,0.434583679824925,0.574,0.466,1,0.00024092618146328,0.303780796301061,0.644,0.572,1,0.0239707413927619,0.00072260442209976
"H2-DMb2",0.00366561274803604,0.335756404177796,0.216,0.092,1,0.000358577589348668,0.378143095909096,0.137,0.039,1,0.000303767399243875,0.304568924310414,0.181,0.102,1,0.00366561274803604,0.00091102540186312
"Marcksl1",0.01209888433433,0.388438590097124,0.303,0.194,1,0.00471142689820609,0.453627051025811,0.126,0.051,1,0.0007305450345115,0.555164290224677,0.249,0.17,1,0.01209888433433,0.00219003440528115
"Rps11",0.097564626579295,0.287208976112661,0.796,0.898,1,0.0249923074587995,0.279979719271842,0.741,0.68,1,0.000954611523032313,0.278978534499015,0.718,0.703,1,0.097564626579295,0.00286110158953863
"Cd52",0.169171584149623,0.259154533411583,0.689,0.714,1,0.00827452751746732,0.34156765085888,0.634,0.534,1,0.0653512812246611,0.320111624902245,0.727,0.751,1,0.169171584149623,0.0246187456742318
"H2-DMb1",0.0142626346330683,0.324541918160144,0.359,0.235,1,0.161486546508369,0.292567441741679,0.264,0.213,1,0.0167261074441294,0.272336757446744,0.354,0.297,1,0.161486546508369,0.0421805370034877
"Apoe",0.0835506338474793,0.928634296283921,0.479,0.694,1,0.0220228967934047,0.74016553219024,0.412,0.343,1,0.998636302439571,0.642117972808265,0.404,0.45,1,0.998636302439571,0.0646243477114527
"Tgfbi",0.391763942168064,0.481424662693388,0.448,0.48,1,0.539187918814148,0.403620692527288,0.282,0.27,1,0.499520152485191,0.285911778317611,0.39,0.411,1,0.539187918814148,0.774982400100392
