"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Rps27",5.77949368570901e-70,1.33612986858498,0.912,0.536,1.63010619405423e-65,2.59293173149589e-73,1.29128708063438,0.991,0.707,7.31336394868415e-69,1.80111669906631e-144,1.3712580752455,0.954,0.587,5.08004964971653e-140,5.77949368570901e-70,5.40335009719904e-144
"Rps29",4.20847974270365e-72,1.34407514505258,0.981,0.569,1.18700171142956e-67,3.48572931815222e-65,1.36914537698258,0.972,0.596,9.83149954184835e-61,1.66745165811047e-143,1.335204546806,0.978,0.597,4.70304740170058e-139,3.48572931815222e-65,5.00235497433149e-143
"Fcer1g",1.67337094489036e-53,-1.96674954041339,0.042,0.595,4.71974275006327e-49,1.04411924438371e-66,-1.84815801195704,0.014,0.712,2.94493832878426e-62,7.85097215316356e-143,-1.95144220786828,0.009,0.719,2.21436669579978e-138,1.67337094489036e-53,2.35529164594911e-142
"Ccr7",3.1798222793523e-54,1.26974224402159,0.345,0.044,8.96868873891316e-50,8.32744452359987e-59,0.935696801307033,0.424,0.06,2.34875572788134e-54,1.63135712234228e-141,1.01314884233532,0.427,0.049,4.6012427635664e-137,3.1798222793523e-54,4.89407136702689e-141
"Ftl1",2.48455637191823e-72,-1.81002271187416,0.448,0.896,7.00769124699537e-68,3.08678193243185e-65,-1.63808791127349,0.705,0.933,8.70626844042403e-61,1.0633827161323e-140,-1.72230719894879,0.547,0.929,2.99927095085115e-136,3.08678193243185e-65,3.19014814839693e-140
"Rpl19",2.73371255057634e-50,1.0860374375903,0.709,0.283,7.71043624890056e-46,2.588317184076e-70,1.13613619671359,0.917,0.358,7.30034861768637e-66,1.07137048023001e-140,1.22112594866282,0.885,0.353,3.02180043948875e-136,2.73371255057634e-50,3.21411144069008e-140
"Zfp36",1.23654880310366e-55,-2.3103097428391,0.276,0.774,3.48768589915388e-51,9.07959103575809e-64,-2.38390581997207,0.313,0.849,2.56089865163557e-59,8.89736486789868e-140,-2.47278724478294,0.423,0.876,2.50950176099082e-135,1.23654880310366e-55,2.66920946036964e-139
"Cd22",1.86018665608777e-28,1.28240695741364,0.276,0.065,5.24665646349555e-24,1.84434930956445e-27,0.972833843030077,0.364,0.115,5.20198722762652e-23,4.4474428667215e-139,1.28287372927359,0.434,0.059,1.2544012605588e-134,1.84434930956445e-27,1.33423286001647e-138
"Gm10116",5.06255929969046e-71,-1.78330592951045,0.437,0.89,1.42789485047769e-66,4.74321940264923e-65,-1.61841096922267,0.673,0.931,1.33782503251722e-60,1.92540211770286e-138,-1.70168305571322,0.516,0.923,5.43059667298092e-134,4.74321940264923e-65,5.77620635310844e-138
"Lyz1",7.86540333347304e-65,-2.94654174739712,0.077,0.683,2.21843701020607e-60,4.42306906500207e-64,-3.37609535876571,0.092,0.733,1.24752662978383e-59,3.71470352789848e-137,-3.70067577664175,0.059,0.728,1.04773213004377e-132,4.42306906500207e-64,1.11441105836953e-136
