"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Tma7",0.0203773375500704,1.34034338673836,0.5,0.129,1,0.791259801835625,-0.421769954250447,0.25,0.253,1,0.791259801835625,0.0403394392145112
"Unc93b1",0.983298230687223,-0.324440366410885,0.25,0.256,1,0.021699761037981,1.54997803198052,0.75,0.398,1,0.983298230687223,0.0429286424468565
"Rps14",0.0217260101465976,1.26889690423011,1,0.566,1,0.0428817744380987,0.587534610637722,1,0.599,1,0.0428817744380987,0.0429800007763052
"Chtop",0.0228170258439698,0.280989684345685,0.25,0.035,1,0.123803473953251,0.292334935147412,0.25,0.063,1,0.123803473953251,0.0451134350195753
"Hnrnpl",0.0228404100194092,1.22391876950996,0.5,0.147,1,0.609744161290172,0.256420286124124,0.25,0.18,1,0.609744161290172,0.0451591357089636
"Orai3",0.0232641651661476,0.429429317153201,0.25,0.037,1,0.0508578884701907,0.273621491704557,0.25,0.045,1,0.0508578884701907,0.0459871089514174
"Lyz1",0.0916146165913013,-3.03446892123083,0.25,0.586,1,0.0234472107706772,-3.69941825916218,0,0.639,1,0.0916146165913013,0.0463446498484298
"U2af1",0.0234512962177657,1.27528108708951,0.25,0.038,1,0.150475153037661,0.631464440026761,0.25,0.076,1,0.150475153037661,0.046352629141238
"Emc7",0.041043321185072,-2.53863165187106,0,0.566,1,0.024789452502321,-2.38329678541624,0,0.632,1,0.041043321185072,0.0489643880492772
"Scp2",0.494434328293321,-0.52379741589919,0,0.105,1,0.0248127405905515,0.435191963077837,0.75,0.222,1,0.494434328293321,0.049009809085489
"Rab14",0.0265855745256907,2.94199143146799,0.5,0.166,1,0.0584593556757283,0.571650911532602,0.75,0.271,1,0.0584593556757283,0.0524643562785203
"Cyld",0.0265858989552712,2.03769435516755,0.25,0.04,1,0.284654716493026,0.279324212008466,0.25,0.096,1,0.284654716493026,0.0524649878872825
"Snrpe",0.089946528522822,0.887242881161464,0.25,0.058,1,0.0270752310868957,0.420550838145672,0.5,0.122,1,0.089946528522822,0.0534173940353826
"Hnrnpab",0.0276767627283276,1.30707753006977,0.5,0.136,1,0.0834271098094721,0.818372044632131,0.5,0.212,1,0.0834271098094721,0.0545875222615351
"Upf3b",0.425866125415916,-0.314719213302422,0,0.138,1,0.0286035641036293,0.445791052931183,0.5,0.127,1,0.425866125415916,0.0563889643278281
"Ywhag",0.107900202613032,0.348410544193565,0.25,0.058,1,0.0287309448516807,0.568106548603862,0.5,0.126,1,0.107900202613032,0.056636422511291
"Cflar",0.507344843880409,-0.307493592725902,0,0.1,1,0.028870421999417,0.358225664324949,0.5,0.12,1,0.507344843880409,0.0569073427324095
"Crem",0.0290237302750161,0.45504415306565,0.25,0.04,1,0.0399669744316058,0.26607159900399,0.25,0.041,1,0.0399669744316058,0.0572050836309553
"Atp5d",0.0304466841635029,0.766457549329726,0.5,0.136,1,0.113578866856594,0.307415214906686,0.5,0.171,1,0.113578866856594,0.0599663677504536
"mt-Nd2",0.580132809927254,-0.498874338727618,0.25,0.134,1,0.0307086086508902,0.970780351030913,1,0.438,1,0.580132809927254,0.0604741986565069
"Rcc2",0.0321506547689006,0.715883677122733,0.25,0.04,1,0.153071720344419,0.27031791200045,0.25,0.068,1,0.153071720344419,0.0632676449357322
"Gpr146",0.0322453916689971,0.254072399095565,0.25,0.038,1,0.063756563946026,0.254038342493996,0.25,0.047,1,0.063756563946026,0.0634510180541071
"Amz2",0.161941914881975,0.366766961857591,0.25,0.076,1,0.0327409867317479,0.52559426633723,0.25,0.042,1,0.161941914881975,0.0644100012513273
"H3f3a",0.0328371120770442,-2.8833018252457,0,0.596,1,0.574130921010619,-0.443632158733349,1,0.913,1,0.574130921010619,0.0645959482245281
"Actg1",0.27529980775936,-1.01163035782648,1,0.835,1,0.0331543540959855,-1.43366042315934,1,0.942,1,0.27529980775936,0.0652094969964491
"Gm13504",0.0912273549923585,0.333145276731722,0.25,0.054,1,0.0332195385203044,0.33000642069709,0.5,0.123,1,0.0912273549923585,0.0653355393011069
"Rpl38",0.982137978605357,-0.564821101117849,0.5,0.399,1,0.0333100319670578,0.568422342212484,0.75,0.271,1,0.982137978605357,0.0655105057044693
"Cxcr2",0.0336090545693624,-2.08549847821082,0,0.593,1,0.115191622840888,-1.50057881901601,0.75,0.705,1,0.115191622840888,0.0660885405896785
